Disease,Symptom
Urethral stricture,Frequent urination
Urethral stricture,Suprapubic pain
Urethral stricture,Involuntary urination
Urethral stricture,Blood in urine
Urethral stricture,Symptoms of bladder
Urethral stricture,Symptoms of prostate
Urethral stricture,Symptoms of the scrotum and testes
Urethral stricture,Excessive urination at night
Urethral stricture,Penis redness
Urethral stricture,Swelling of scrotum
Vitamin D deficiency,Fatigue
Vitamin D deficiency,Joint pain
Vitamin D deficiency,Hot flashes
Vitamin D deficiency,Weight gain
Vitamin D deficiency,Skin irritation
Vitamin D deficiency,Arm stiffness or tightness
Vitamin D deficiency,Smoking problems
Vitamin D deficiency,Mouth dryness
Vitamin D deficiency,Infrequent menstruation
Vitamin D deficiency,Feeling hot
Vitamin D deficiency,Melena
Vitamin D deficiency,Back stiffness or tightness
Hydatidiform mole,Spotting or bleeding during pregnancy
Hydatidiform mole,Pain during pregnancy
Hydatidiform mole,Problems during pregnancy
Hydatidiform mole,Sharp abdominal pain
Hydatidiform mole,Low back pain
Hydatidiform mole,Nausea
Hydatidiform mole,Dizziness
Hydatidiform mole,Vomiting
Hydatidiform mole,Pelvic pain
Hydatidiform mole,Diminished vision
Hydatidiform mole,Side pain
Hydatidiform mole,Burning abdominal pain
Pain disorder affecting the neck,Neck pain
Pain disorder affecting the neck,Headache
Pain disorder affecting the neck,Back pain
Pain disorder affecting the neck,Loss of sensation
Pain disorder affecting the neck,Neck stiffness or tightness
Pain disorder affecting the neck,Shoulder pain
Pain disorder affecting the neck,Low back pain
Pain disorder affecting the neck,Dizziness
Pain disorder affecting the neck,Arm pain
Pain disorder affecting the neck,Paresthesia
Pain disorder affecting the neck,Insomnia
Pain disorder affecting the neck,Disturbance of memory
Tuberculosis,Cough
Tuberculosis,Shortness of breath
Tuberculosis,Sweating
Tuberculosis,Congestion in chest
Tuberculosis,Hemoptysis
Tuberculosis,Skin dryne
Tuberculosis,Drainage in throat
Tuberculosis,Hurts to breath
Tuberculosis,Itchiness of eye
Tuberculosis,Back cramps or spasms
Tuberculosis,Vaginal itching
Pelvic fistula,Vaginal discharge
Pelvic fistula,Dizziness
Pelvic fistula,Rectal bleeding
Pelvic fistula,Back pain
Pelvic fistula,Recent pregnancy
Pelvic fistula,Fainting
Pelvic fistula,Heartburn
Pelvic fistula,Elbow cramps or spasms
Pelvic fistula,Nailbiting
Pelvic fistula,Itching of scrotum
Pelvic fistula,Muscle swelling
Pelvic fistula,Elbow weakness
Acute bronchiolitis,Cough
Acute bronchiolitis,Fever
Acute bronchiolitis,Nasal congestion
Acute bronchiolitis,Wheezing
Acute bronchiolitis,Difficulty breathing
Acute bronchiolitis,Vomiting
Acute bronchiolitis,Coryza
Acute bronchiolitis,Shortness of breath
Acute bronchiolitis,Decreased appetite
Acute bronchiolitis,Irritable infant
Acute bronchiolitis,Pulling at ears
Acute bronchiolitis,Hurts to breath
Presbyopia,Diminished vision
Presbyopia,Symptoms of eye
Presbyopia,Spots or clouds in vision
Presbyopia,Itchiness of eye
Presbyopia,Eye redness
Presbyopia,Pain in eye
Presbyopia,Eye burns or stings
Presbyopia,Foreign body sensation in eye
Presbyopia,Lacrimation
Presbyopia,Abnormal movement of eyelid
Presbyopia,Mass on eyelid
Presbyopia,Difficulty speaking
Dementia,Disturbance of memory
Dementia,Problems with movement
Dementia,Dizziness
Dementia,Depressive or psychotic symptoms
Dementia,Abnormal involuntary movements
Dementia,Paresthesia
Dementia,Hostile behavior
Dementia,Delusions or hallucinations
Dementia,Difficulty speaking
Dementia,Insomnia
Dementia,Disturbance of smell or taste
Dementia,Focal weakness
Insect bite,Skin rash
Insect bite,Abnormal appearing skin
Insect bite,Itching of skin
Insect bite,Skin swelling
Insect bite,Skin lesion
Insect bite,Peripheral edema
Insect bite,Hand or finger swelling
Insect bite,Arm swelling
Insect bite,Leg swelling
Insect bite,Swollen eye
Insect bite,Fluid retention
Insect bite,Lip swelling
Paroxysmal ventricular tachycardia,Shortness of breath
Paroxysmal ventricular tachycardia,Sharp chest pain
Paroxysmal ventricular tachycardia,Dizziness
Paroxysmal ventricular tachycardia,Palpitations
Paroxysmal ventricular tachycardia,Fainting
Paroxysmal ventricular tachycardia,Irregular heartbeat
Paroxysmal ventricular tachycardia,Fatigue
Paroxysmal ventricular tachycardia,Increased heart rate
Paroxysmal ventricular tachycardia,Chest tightness
Paroxysmal ventricular tachycardia,Weight gain
Paroxysmal ventricular tachycardia,Decreased heart rate
Paroxysmal ventricular tachycardia,Slurring words
Congenital heart defect,Sharp chest pain
Congenital heart defect,Lack of growth
Congenital heart defect,Lymphedema
Congenital heart defect,Arm swelling
Congenital heart defect,Infant feeding problem
Congenital heart defect,Slurring words
Congenital heart defect,Irregular belly button
Congenital heart defect,Cross-eyed
Congenital heart defect,Neck cramps or spasms
Congenital heart defect,Decreased heart rate
Congenital heart defect,Excessive appetite
Congenital heart defect,Hand or finger stiffness or tightness
Connective tissue disorder,Joint pain
Connective tissue disorder,Skin rash
Connective tissue disorder,Fatigue
Connective tissue disorder,Foot or toe pain
Connective tissue disorder,Fever
Connective tissue disorder,Feeling ill
Connective tissue disorder,Paresthesia
Connective tissue disorder,Ache all over
Connective tissue disorder,Arm pain
Connective tissue disorder,Headache
Connective tissue disorder,Lymphedema
Connective tissue disorder,Difficulty in swallowing
Foreign body in the eye,Pain in eye
Foreign body in the eye,Eye redness
Foreign body in the eye,Foreign body sensation in eye
Foreign body in the eye,Eye burns or stings
Foreign body in the eye,Lacrimation
Foreign body in the eye,Symptoms of eye
Foreign body in the eye,Swollen eye
Foreign body in the eye,Itchiness of eye
Foreign body in the eye,White discharge from eye
Foreign body in the eye,Abnormal movement of eyelid
Foreign body in the eye,Eyelid lesion or rash
Foreign body in the eye,Eyelid swelling
Poisoning due to gas,Shortness of breath
Poisoning due to gas,Cough
Poisoning due to gas,Nausea
Poisoning due to gas,Headache
Poisoning due to gas,Sharp chest pain
Poisoning due to gas,Nasal congestion
Poisoning due to gas,Dizziness
Poisoning due to gas,Difficulty breathing
Poisoning due to gas,Sore throat
Poisoning due to gas,Wheezing
Poisoning due to gas,Fever
Poisoning due to gas,Drainage in throat
Pyogenic skin infection,Abnormal appearing skin
Pyogenic skin infection,Skin lesion
Pyogenic skin infection,Leg pain
Pyogenic skin infection,Skin rash
Pyogenic skin infection,Leg swelling
Pyogenic skin infection,Foot or toe pain
Pyogenic skin infection,Skin on leg or foot looks infected
Pyogenic skin infection,Peripheral edema
Pyogenic skin infection,Skin swelling
Pyogenic skin infection,Hand or finger swelling
Pyogenic skin infection,Hand or finger pain
Pyogenic skin infection,Foot or toe swelling
Endometrial hyperplasia,Vaginal bleeding after menopause
Endometrial hyperplasia,Heavy menstrual flow
Endometrial hyperplasia,Unpredictable menstruation
Endometrial hyperplasia,Involuntary urination
Endometrial hyperplasia,Vaginal discharge
Endometrial hyperplasia,Pelvic pain
Endometrial hyperplasia,Pus in sputum
Endometrial hyperplasia,Muscle swelling
Endometrial hyperplasia,Elbow cramps or spasms
Endometrial hyperplasia,Abnormal size or shape of ear
Endometrial hyperplasia,Back weakness
Endometrial hyperplasia,Low back weakness
Acanthosis nigricans,Weight gain
Acanthosis nigricans,Skin lesion
Acanthosis nigricans,Allergic reaction
Acanthosis nigricans,Acne or pimples
Acanthosis nigricans,Infertility
Acanthosis nigricans,Skin growth
Acanthosis nigricans,Pain or soreness of breast
Acanthosis nigricans,Skin moles
Acanthosis nigricans,Unwanted hair
Acanthosis nigricans,Fluid retention
Acanthosis nigricans,Apnea
Acanthosis nigricans,Warts
Central atherosclerosis,Shortness of breath
Central atherosclerosis,Fatigue
Central atherosclerosis,Blood in urine
Central atherosclerosis,Excessive urination at night
Central atherosclerosis,Weight gain
Central atherosclerosis,Symptoms of the kidneys
Central atherosclerosis,Muscle pain
Central atherosclerosis,Irregular heartbeat
Central atherosclerosis,Increased heart rate
Central atherosclerosis,Hand or finger cramps or spasms
Central atherosclerosis,Peripheral edema
Central atherosclerosis,Joint pain
Viral exanthem,Skin rash
Viral exanthem,Fever
Viral exanthem,Cough
Viral exanthem,Nasal congestion
Viral exanthem,Vomiting
Viral exanthem,Abnormal appearing skin
Viral exanthem,Itching of skin
Viral exanthem,Decreased appetite
Viral exanthem,Pulling at ears
Viral exanthem,Skin swelling
Viral exanthem,Lip sore
Viral exanthem,Flu-like syndrome
Blastomycosis,Pain in eye
Blastomycosis,Shoulder cramps or spasms
Blastomycosis,Facial pain
Blastomycosis,Ankle pain
Blastomycosis,Wrist pain
Blastomycosis,Pain during pregnancy
Blastomycosis,Excessive anger
Blastomycosis,Joint stiffness or tightness
Blastomycosis,Pain or soreness of breast
Blastomycosis,Knee lump or mass
Blastomycosis,Fatigue
Blastomycosis,Excessive urination at night
Noninfectious gastroenteritis,Vomiting
Noninfectious gastroenteritis,Diarrhea
Noninfectious gastroenteritis,Nausea
Noninfectious gastroenteritis,Sharp abdominal pain
Noninfectious gastroenteritis,Fever
Noninfectious gastroenteritis,Burning abdominal pain
Noninfectious gastroenteritis,Headache
Noninfectious gastroenteritis,Blood in stool
Noninfectious gastroenteritis,Decreased appetite
Noninfectious gastroenteritis,Chills
Noninfectious gastroenteritis,Fluid retention
Noninfectious gastroenteritis,Rectal bleeding
Benign prostatic hyperplasia (BPH),Retention of urine
Benign prostatic hyperplasia (BPH),Symptoms of prostate
Benign prostatic hyperplasia (BPH),Frequent urination
Benign prostatic hyperplasia (BPH),Blood in urine
Benign prostatic hyperplasia (BPH),Excessive urination at night
Benign prostatic hyperplasia (BPH),Impotence
Benign prostatic hyperplasia (BPH),Involuntary urination
Benign prostatic hyperplasia (BPH),Symptoms of bladder
Benign prostatic hyperplasia (BPH),Pain in testicles
Benign prostatic hyperplasia (BPH),Hesitancy
Benign prostatic hyperplasia (BPH),Swelling of scrotum
Benign prostatic hyperplasia (BPH),Low urine output
Menopause,Hot flashes
Menopause,Unpredictable menstruation
Menopause,Sweating
Menopause,Pelvic pain
Menopause,Long menstrual periods
Menopause,Involuntary urination
Menopause,Vaginal dryness
Menopause,Vaginal itching
Menopause,Weight gain
Menopause,Heavy menstrual flow
Menopause,Loss of sex drive
Menopause,Absence of menstruation
Primary immunodeficiency,Fatigue
Primary immunodeficiency,Cough
Primary immunodeficiency,Frontal headache
Primary immunodeficiency,Painful sinuses
Primary immunodeficiency,Upper abdominal pain
Primary immunodeficiency,Decreased appetite
Primary immunodeficiency,Arm stiffness or tightness
Primary immunodeficiency,Skin irritation
Primary immunodeficiency,Joint pain
Primary immunodeficiency,Temper problems
Primary immunodeficiency,Mouth ulcer
Primary immunodeficiency,Swollen tongue
Ovarian cancer,Sharp abdominal pain
Ovarian cancer,Decreased appetite
Ovarian cancer,Fluid retention
Ovarian cancer,Regurgitation
Ovarian cancer,Stomach bloating
Ovarian cancer,Groin mass
Ovarian cancer,Symptoms of the kidneys
Ovarian cancer,Difficulty eating
Ovarian cancer,Absence of menstruation
Cataract,Diminished vision
Cataract,Spots or clouds in vision
Cataract,Symptoms of eye
Cataract,Pain in eye
Cataract,Lacrimation
Cataract,Itchiness of eye
Cataract,Blindness
Cataract,Foreign body sensation in eye
Cataract,Eye burns or stings
Cataract,Double vision
Cataract,Cloudy eye
Cataract,Abnormal movement of eyelid
Dislocation of the hip,Hip pain
Dislocation of the hip,Knee pain
Dislocation of the hip,Leg pain
Dislocation of the hip,Back pain
Dislocation of the hip,Groin pain
Dislocation of the hip,Hip stiffness or tightness
Dislocation of the hip,Abusing alcohol
Spinal stenosis,Neck pain
Spinal stenosis,Back pain
Spinal stenosis,Low back pain
Spinal stenosis,Shoulder pain
Spinal stenosis,Headache
Spinal stenosis,Leg pain
Spinal stenosis,Arm pain
Spinal stenosis,Loss of sensation
Spinal stenosis,Hip pain
Spinal stenosis,Lower body pain
Spinal stenosis,Problems with movement
Spinal stenosis,Paresthesia
Intestinal obstruction,Constipation
Intestinal obstruction,Sharp abdominal pain
Intestinal obstruction,Nausea
Intestinal obstruction,Diarrhea
Intestinal obstruction,Vomiting
Intestinal obstruction,Retention of urine
Intestinal obstruction,Burning abdominal pain
Intestinal obstruction,Pain of the anus
Intestinal obstruction,Stomach bloating
Intestinal obstruction,Vomiting blood
Intestinal obstruction,Incontinence of stool
Intestinal obstruction,Vaginal itching
Heart contusion,Apnea
Heart contusion,Sharp chest pain
Heart contusion,Depression
Heart contusion,Fainting
Heart contusion,Itchy eyelid
Heart contusion,Cross-eyed
Heart contusion,Excessive growth
Heart contusion,Elbow cramps or spasms
Heart contusion,Wrist weakness
Heart contusion,Elbow weakness
Heart contusion,Hip stiffness or tightness
Heart contusion,Nailbiting
Congenital malformation syndrome,Lack of growth
Congenital malformation syndrome,Seizures
Congenital malformation syndrome,Gum pain
Congenital malformation syndrome,Diminished hearing
Congenital malformation syndrome,Leg stiffness or tightness
Congenital malformation syndrome,Rib pain
Congenital malformation syndrome,Fluid retention
Congenital malformation syndrome,Ringing in ear
Congenital malformation syndrome,Delusions or hallucinations
Congenital malformation syndrome,Symptoms of the kidneys
Congenital malformation syndrome,Difficulty eating
Congenital malformation syndrome,Groin pain
Sporotrichosis,Knee pain
Sporotrichosis,Knee swelling
Sporotrichosis,Shoulder cramps or spasms
Sporotrichosis,Ankle pain
Sporotrichosis,Wrist pain
Sporotrichosis,Pain during pregnancy
Sporotrichosis,Joint stiffness or tightness
Sporotrichosis,Excessive anger
Sporotrichosis,Pain or soreness of breast
Sporotrichosis,Knee lump or mass
Sporotrichosis,Facial pain
Sporotrichosis,Pain in eye
Lymphangitis,Skin on arm or hand looks infected
Lymphangitis,Neck swelling
Lymphangitis,Skin on leg or foot looks infected
Lymphangitis,Skin on head or neck looks infected
Lymphangitis,Foot or toe lump or mass
Lymphangitis,Flu-like syndrome
Lymphangitis,Foot or toe pain
Lymphangitis,Facial pain
Lymphangitis,Neck pain
Lymphangitis,Arm pain
Lymphangitis,Abnormal appearing skin
Lymphangitis,Skin irritation
Wernicke Korsakoff syndrome,Depressive or psychotic symptoms
Wernicke Korsakoff syndrome,Abusing alcohol
Wernicke Korsakoff syndrome,Delusions or hallucinations
Wernicke Korsakoff syndrome,Leg pain
Wernicke Korsakoff syndrome,Fainting
Wernicke Korsakoff syndrome,Hostile behavior
Wernicke Korsakoff syndrome,Paresthesia
Wernicke Korsakoff syndrome,Arm pain
Wernicke Korsakoff syndrome,Anxiety and nervousness
Wernicke Korsakoff syndrome,Vomiting blood
Wernicke Korsakoff syndrome,Headache
Wernicke Korsakoff syndrome,Disturbance of memory
Intestinal disease,Sharp abdominal pain
Intestinal disease,Vomiting
Intestinal disease,Diarrhea
Intestinal disease,Regurgitation
Intestinal disease,Rectal bleeding
Intestinal disease,Burning abdominal pain
Intestinal disease,Constipation
Intestinal disease,Nausea
Intestinal disease,Upper abdominal pain
Intestinal disease,Sharp chest pain
Intestinal disease,Fainting
Intestinal disease,Weakness
Acute bronchitis,Cough
Acute bronchitis,Nasal congestion
Acute bronchitis,Fever
Acute bronchitis,Sore throat
Acute bronchitis,Shortness of breath
Acute bronchitis,Coryza
Acute bronchitis,Sharp chest pain
Acute bronchitis,Coughing up sputum
Acute bronchitis,Congestion in chest
Acute bronchitis,Headache
Acute bronchitis,Difficulty breathing
Acute bronchitis,Wheezing
Persistent vomiting of unknown cause,Vomiting
Persistent vomiting of unknown cause,Nausea
Persistent vomiting of unknown cause,Sharp abdominal pain
Persistent vomiting of unknown cause,Diarrhea
Persistent vomiting of unknown cause,Fever
Persistent vomiting of unknown cause,Problems during pregnancy
Persistent vomiting of unknown cause,Headache
Persistent vomiting of unknown cause,Dizziness
Persistent vomiting of unknown cause,Cramps and spasms
Persistent vomiting of unknown cause,Abnormal involuntary movements
Persistent vomiting of unknown cause,Vomiting blood
Persistent vomiting of unknown cause,Decreased appetite
Open wound of the foot,Foot or toe pain
Open wound of the foot,Skin lesion
Open wound of the foot,Foot or toe swelling
Open wound of the foot,Skin on leg or foot looks infected
Open wound of the foot,Irregular appearing nails
Open wound of the foot,Foot or toe lump or mass
Open wound of the foot,Skin pain
Myocarditis,Palpitations
Myocarditis,Ache all over
Myocarditis,Cough
Myocarditis,Chest tightness
Myocarditis,Fever
Myocarditis,Sharp chest pain
Myocarditis,Weakness
Myocarditis,Diarrhea
Myocarditis,Headache
Myocarditis,Difficulty breathing
Myocarditis,Dizziness
Myocarditis,Coughing up sputum
Preeclampsia,Headache
Preeclampsia,Pain during pregnancy
Preeclampsia,Problems during pregnancy
Preeclampsia,Sharp abdominal pain
Preeclampsia,Uterine contractions
Preeclampsia,Lower abdominal pain
Preeclampsia,Recent pregnancy
Preeclampsia,Spots or clouds in vision
Preeclampsia,Cramps and spasms
Preeclampsia,Vaginal redness
Ischemic heart disease,Sharp chest pain
Ischemic heart disease,Shortness of breath
Ischemic heart disease,Difficulty breathing
Ischemic heart disease,Palpitations
Ischemic heart disease,Dizziness
Ischemic heart disease,Fatigue
Ischemic heart disease,Chest tightness
Ischemic heart disease,Peripheral edema
Ischemic heart disease,Lymphedema
Ischemic heart disease,Increased heart rate
Ischemic heart disease,Muscle pain
Ischemic heart disease,Throat feels tight
Neurofibromatosis,Headache
Neurofibromatosis,Abnormal appearing skin
Neurofibromatosis,Abnormal involuntary movements
Neurofibromatosis,Diminished hearing
Neurofibromatosis,Leg swelling
Neurofibromatosis,Incontinence of stool
Neurofibromatosis,Leg weakness
Neurofibromatosis,Neck mass
Neurofibromatosis,Mass on vulva
Neurofibromatosis,Warts
Neurofibromatosis,Groin mass
Neurofibromatosis,Foot or toe lump or mass
Chickenpox,Skin rash
Chickenpox,Fever
Chickenpox,Abnormal appearing skin
Chickenpox,Itching of skin
Chickenpox,Ache all over
Chickenpox,Cough
Chickenpox,Skin lesion
Chickenpox,Skin swelling
Chickenpox,Pain in testicles
Chickenpox,Problems during pregnancy
Chickenpox,Irritable infant
Chickenpox,Eye redness
Pancreatic cancer,Sharp abdominal pain
Pancreatic cancer,Nausea
Pancreatic cancer,Ache all over
Pancreatic cancer,Fatigue
Pancreatic cancer,Diarrhea
Pancreatic cancer,Jaundice
Pancreatic cancer,Constipation
Pancreatic cancer,Stomach bloating
Pancreatic cancer,Arm swelling
Pancreatic cancer,Elbow swelling
Pancreatic cancer,Irregular appearing scalp
Pancreatic cancer,Vomiting blood
Neuropathy due to drugs,Loss of sensation
Neuropathy due to drugs,Foot or toe pain
Neuropathy due to drugs,Paresthesia
Neuropathy due to drugs,Problems with movement
Neuropathy due to drugs,Sharp abdominal pain
Neuropathy due to drugs,Cough
Neuropathy due to drugs,Nausea
Neuropathy due to drugs,Weakness
Neuropathy due to drugs,Vomiting
Neuropathy due to drugs,Facial pain
Neuropathy due to drugs,Fatigue
Neuropathy due to drugs,Hand or finger pain
Croup,Cough
Croup,Fever
Croup,Difficulty breathing
Croup,Nasal congestion
Croup,Wheezing
Croup,Shortness of breath
Croup,Vomiting
Croup,Sore throat
Croup,Coryza
Croup,Hoarse voice
Croup,Abnormal breathing sounds
Croup,Pulling at ears
Idiopathic excessive menstruation,Heavy menstrual flow
Idiopathic excessive menstruation,Unpredictable menstruation
Idiopathic excessive menstruation,Pelvic pain
Idiopathic excessive menstruation,Sharp abdominal pain
Idiopathic excessive menstruation,Painful menstruation
Idiopathic excessive menstruation,Long menstrual periods
Idiopathic excessive menstruation,Intermenstrual bleeding
Idiopathic excessive menstruation,Blood clots during menstrual periods
Idiopathic excessive menstruation,Frequent menstruation
Idiopathic excessive menstruation,Cramps and spasms
Idiopathic excessive menstruation,Vaginal discharge
Idiopathic excessive menstruation,Involuntary urination
Amblyopia,Diminished vision
Amblyopia,Eye deviation
Amblyopia,Pain in eye
Amblyopia,Foreign body sensation in eye
Amblyopia,Cross-eyed
Amblyopia,Spots or clouds in vision
Amblyopia,Pus draining from ear
Amblyopia,White discharge from eye
Amblyopia,Neck stiffness or tightness
Amblyopia,Abnormal movement of eyelid
Amblyopia,Itchiness of eye
Amblyopia,Eye moves abnormally
Meckel diverticulum,Upper abdominal pain
Meckel diverticulum,Lower abdominal pain
Meckel diverticulum,Knee lump or mass
Meckel diverticulum,Excessive growth
Meckel diverticulum,Pelvic pressure
Meckel diverticulum,Vulvar sore
Meckel diverticulum,Loss of sex drive
Meckel diverticulum,Bedwetting
Meckel diverticulum,Neck cramps or spasms
Meckel diverticulum,Shoulder swelling
Meckel diverticulum,Eye strain
Meckel diverticulum,Joint stiffness or tightness
Dislocation of the wrist,Arm pain
Dislocation of the wrist,Elbow pain
Dislocation of the wrist,Hand or finger swelling
Dislocation of the wrist,Hand or finger pain
Dislocation of the wrist,Depression
Dislocation of the wrist,Arm stiffness or tightness
Dislocation of the wrist,Wrist pain
Dislocation of the wrist,Elbow weakness
Dislocation of the wrist,Wrist weakness
Dislocation of the wrist,Eye strain
Dislocation of the wrist,Feeling hot and cold
Dislocation of the wrist,Nailbiting
Ear drum damage,Ear pain
Ear drum damage,Diminished hearing
Ear drum damage,Fluid in ear
Ear drum damage,Redness in ear
Ear drum damage,Bleeding from ear
Ear drum damage,Nasal congestion
Ear drum damage,Cough
Ear drum damage,Plugged feeling in ear
Ear drum damage,Ringing in ear
Ear drum damage,Pulling at ears
Ear drum damage,Pus draining from ear
Ear drum damage,Flu-like syndrome
Erectile dysfunction,Impotence
Erectile dysfunction,Retention of urine
Erectile dysfunction,Symptoms of prostate
Erectile dysfunction,Frequent urination
Erectile dysfunction,Blood in urine
Erectile dysfunction,Pain in testicles
Erectile dysfunction,Loss of sex drive
Erectile dysfunction,Excessive urination at night
Erectile dysfunction,Involuntary urination
Erectile dysfunction,Premature ejaculation
Erectile dysfunction,Penis pain
Erectile dysfunction,Pain during intercourse
Temporary or benign blood in urine,Blood in urine
Temporary or benign blood in urine,Sharp abdominal pain
Temporary or benign blood in urine,Side pain
Temporary or benign blood in urine,Painful urination
Temporary or benign blood in urine,Retention of urine
Temporary or benign blood in urine,Suprapubic pain
Temporary or benign blood in urine,Back pain
Temporary or benign blood in urine,Frequent urination
Temporary or benign blood in urine,Lower abdominal pain
Temporary or benign blood in urine,Involuntary urination
Temporary or benign blood in urine,Symptoms of bladder
Temporary or benign blood in urine,Regurgitation
Kidney disease due to longstanding hypertension,Shortness of breath
Kidney disease due to longstanding hypertension,Symptoms of the kidneys
Kidney disease due to longstanding hypertension,Difficulty speaking
Kidney disease due to longstanding hypertension,Incontinence of stool
Kidney disease due to longstanding hypertension,Foot or toe cramps or spasms
Kidney disease due to longstanding hypertension,Unusual color or odor to urine
Kidney disease due to longstanding hypertension,Excessive appetite
Kidney disease due to longstanding hypertension,Polyuria
Kidney disease due to longstanding hypertension,Too little hair
Kidney disease due to longstanding hypertension,Stuttering or stammering
Kidney disease due to longstanding hypertension,Feeling cold
Chondromalacia of the patella,Knee pain
Chondromalacia of the patella,Leg pain
Chondromalacia of the patella,Knee swelling
Chondromalacia of the patella,Knee stiffness or tightness
Chondromalacia of the patella,Problems with movement
Chondromalacia of the patella,Knee weakness
Chondromalacia of the patella,Joint pain
Chondromalacia of the patella,Elbow pain
Chondromalacia of the patella,Bones are painful
Onychomycosis,Skin rash
Onychomycosis,Irregular appearing nails
Onychomycosis,Foot or toe pain
Onychomycosis,Abnormal appearing skin
Onychomycosis,Diaper rash
Onychomycosis,Itching of skin
Onychomycosis,Skin growth
Onychomycosis,Skin dryne
Onychomycosis,Skin irritation
Onychomycosis,Skin swelling
Onychomycosis,Skin on leg or foot looks infected
Onychomycosis,Too little hair
Urethral disorder,Painful urination
Urethral disorder,Involuntary urination
Urethral disorder,Retention of urine
Urethral disorder,Frequent urination
Urethral disorder,Sharp abdominal pain
Urethral disorder,Suprapubic pain
Urethral disorder,Vomiting
Urethral disorder,Pelvic pain
Urethral disorder,Blood in urine
Urethral disorder,Symptoms of bladder
Urethral disorder,Side pain
Urethral disorder,Abusing alcohol
Lyme disease,Fever
Lyme disease,Skin rash
Lyme disease,Headache
Lyme disease,Fatigue
Lyme disease,Abnormal appearing skin
Lyme disease,Loss of sensation
Lyme disease,Depressive or psychotic symptoms
Lyme disease,Joint pain
Lyme disease,Chills
Lyme disease,Hip pain
Lyme disease,Hand or finger pain
Lyme disease,Symptoms of the face
Iron deficiency anemia,Fatigue
Iron deficiency anemia,Weakness
Iron deficiency anemia,Dizziness
Iron deficiency anemia,Heavy menstrual flow
Iron deficiency anemia,Rectal bleeding
Iron deficiency anemia,Blood in stool
Iron deficiency anemia,Weight gain
Iron deficiency anemia,Melena
Iron deficiency anemia,Heartburn
Iron deficiency anemia,Regurgitation
Iron deficiency anemia,Intermenstrual bleeding
Iron deficiency anemia,Absence of menstruation
Acute respiratory distress syndrome (ARDS),Shortness of breath
Acute respiratory distress syndrome (ARDS),Difficulty breathing
Acute respiratory distress syndrome (ARDS),Cough
Acute respiratory distress syndrome (ARDS),Sharp chest pain
Acute respiratory distress syndrome (ARDS),Depressive or psychotic symptoms
Acute respiratory distress syndrome (ARDS),Fever
Acute respiratory distress syndrome (ARDS),Wheezing
Acute respiratory distress syndrome (ARDS),Hurts to breath
Acute respiratory distress syndrome (ARDS),Chest tightness
Acute respiratory distress syndrome (ARDS),Chills
Acute respiratory distress syndrome (ARDS),Coughing up sputum
Acute respiratory distress syndrome (ARDS),Congestion in chest
Toxic multinodular goiter,Fatigue
Toxic multinodular goiter,Abnormal involuntary movements
Toxic multinodular goiter,Double vision
Toxic multinodular goiter,Sweating
Toxic multinodular goiter,Involuntary urination
Toxic multinodular goiter,Abnormal movement of eyelid
Toxic multinodular goiter,Foreign body sensation in eye
Toxic multinodular goiter,Spots or clouds in vision
Toxic multinodular goiter,Leg cramps or spasms
Toxic multinodular goiter,Irregular heartbeat
Toxic multinodular goiter,Sinus congestion
Toxic multinodular goiter,Neck swelling
Open wound of the finger,Hand or finger pain
Open wound of the finger,Hand or finger swelling
Open wound of the finger,Skin on arm or hand looks infected
Open wound of the finger,Hand or finger stiffness or tightness
Autonomic nervous system disorder,Leg pain
Autonomic nervous system disorder,Loss of sensation
Autonomic nervous system disorder,Headache
Autonomic nervous system disorder,Skin lesion
Autonomic nervous system disorder,Back pain
Autonomic nervous system disorder,Fainting
Autonomic nervous system disorder,Dizziness
Autonomic nervous system disorder,Fatigue
Autonomic nervous system disorder,Pupils unequal
Autonomic nervous system disorder,Decreased appetite
Autonomic nervous system disorder,Peripheral edema
Autonomic nervous system disorder,Difficulty in swallowing
Psychosexual disorder,Impotence
Psychosexual disorder,Premature ejaculation
Psychosexual disorder,Loss of sex drive
Psychosexual disorder,Depression
Psychosexual disorder,Knee pain
Psychosexual disorder,Pain during intercourse
Psychosexual disorder,Fatigue
Psychosexual disorder,Fears and phobias
Psychosexual disorder,Problems with orgasm
Psychosexual disorder,Muscle pain
Psychosexual disorder,Involuntary urination
Psychosexual disorder,Symptoms of prostate
Anemia,Fatigue
Anemia,Weakness
Anemia,Dizziness
Anemia,Shortness of breath
Anemia,Nosebleed
Anemia,Heavy menstrual flow
Anemia,Melena
Anemia,Unpredictable menstruation
Anemia,Vomiting blood
Anemia,Changes in stool appearance
Anemia,Recent pregnancy
Anemia,Too little hair
Tendinitis,Hip pain
Tendinitis,Shoulder pain
Tendinitis,Knee pain
Tendinitis,Wrist pain
Tendinitis,Foot or toe pain
Tendinitis,Hand or finger pain
Tendinitis,Leg pain
Tendinitis,Elbow pain
Tendinitis,Ankle pain
Tendinitis,Arm pain
Tendinitis,Hand or finger swelling
Tendinitis,Joint pain
Common cold,Cough
Common cold,Sore throat
Common cold,Fever
Common cold,Nasal congestion
Common cold,Coryza
Common cold,Ear pain
Common cold,Headache
Common cold,Vomiting
Common cold,Wheezing
Common cold,Congestion in chest
Common cold,Chills
Common cold,Flu-like syndrome
Amyotrophic lateral sclerosis (ALS),Weakness
