Disease,Medication
Typhoid fever,Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)
Typhoid fever,Iopanoic Acid
Typhoid fever,Conjugated Estrogens Topical
Typhoid fever,Malathion Topical
Typhoid fever,Gemtuzumab (Mylotarg)
Vitreous degeneration,Tropicamide Ophthalmic
Vitreous degeneration,Phenylephrine (Duramax)
Vitreous degeneration,Latanoprost
Vitreous degeneration,Benoxinate-Fluorescein Ophthalmic
Vitreous degeneration,Prednisolone Ophthalmic
Vitreous degeneration,Proparacaine Ophthalmic
Vitreous degeneration,Loteprednol Ophthalmic
Vitreous degeneration,Nepafenac Ophthalmic
Vitreous degeneration,Cyclosporine Ophthalmic
Vitreous degeneration,Bevacizumab (Avastin)
Vitreous degeneration,Loteprednol-Tobramycin Ophthalmic
Vitreous degeneration,Prednisolone-Sodium Sulfacetamide Ophthalmic
Vitreous degeneration,Pilocarpine Ophthalmic
Atrophic skin condition,Botulinum Toxin Type A (Botox)
Atrophic skin condition,Tretinoin Topical
Atrophic skin condition,Metronidazole Topical Product
Atrophic skin condition,Aluminum Chloride Hexahydrate Topical
Atrophic skin condition,Collagen
Atrophic skin condition,Sodium Sulfacetamide-Sulfur Topical
Atrophic skin condition,Hydroquinone Topical
Atrophic skin condition,Desonide Topical
Atrophic skin condition,Minocycline
Atrophic skin condition,Ethanol (On Guard)
Atrophic skin condition,Salicylic Acid Topical
Atrophic skin condition,Diethylstilbestrol
Aspergillosis,Glycopyrrolate
Aspergillosis,Tiotropium (Spiriva)
Aspergillosis,Moxifloxacin (Avelox)
Aspergillosis,Heparin
Aspergillosis,Prochlorperazine (Compro)
Aspergillosis,Diphenhydramine (Benadryl)
Aspergillosis,Morphine (Rms)
Aspergillosis,Air
Aspergillosis,Mecamylamine
Aspergillosis,Troleandomycin
Aspergillosis,Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)
Aspergillosis,Pipecuronium (Arduan)
Uterine atony,Rho(D) Immune Globulin (Rhogam)
Uterine atony,Miconazole Topical Product
Uterine atony,Progesterone
Uterine atony,Carmustine
Uterine atony,Valdecoxib (Bextra)
Uterine atony,5-Hydroxytryptophan
Uterine atony,Calcium Polycarbophil (Fibercon)
Uterine atony,Ampicillin
Trichinosis,Mupirocin Topical
Trichinosis,Nitrofurantoin
Trichinosis,Metronidazole
Trichinosis,Bactrim
Trichinosis,Air
Trichinosis,Mecamylamine
Trichinosis,Troleandomycin
Trichinosis,Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)
Trichinosis,Pipecuronium (Arduan)
Trichinosis,Grepafloxacin (Raxar)
Trichinosis,Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)
Trichinosis,Iopanoic Acid
Whooping cough,Azithromycin
Whooping cough,Robitussin Ac
Whooping cough,Benzonatate
Whooping cough,Progesterone
Whooping cough,Testosterone
Whooping cough,Ropinirole
Whooping cough,Erythromycin
Whooping cough,Levalbuterol (Xopenex)
Whooping cough,Mecamylamine
Whooping cough,Grepafloxacin (Raxar)
Whooping cough,Malathion Topical
Pick disease,Air
Pick disease,Mecamylamine
Pick disease,Troleandomycin
Pick disease,Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)
Pick disease,Pipecuronium (Arduan)
Pick disease,Grepafloxacin (Raxar)
Pick disease,Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)
Pick disease,Iopanoic Acid
Pick disease,Conjugated Estrogens Topical
Pick disease,Malathion Topical
Pick disease,Gemtuzumab (Mylotarg)
Pick disease,Norelgestromin (Ortho Evra)
Open wound of the lip,Lidocaine
Open wound of the lip,Bacitracin (Septa)
Open wound of the lip,Tetanus Toxoid Vaccine (Adacel)
Open wound of the lip,Ketamine
Open wound of the lip,Chlorhexidine Topical
Open wound of the lip,Hydrogen Peroxide Topical
Open wound of the lip,Scopolamine Ophthalmic
Open wound of the lip,Acellular Pertussis Vaccine (Adacel)
Open wound of the lip,Tetanus Immune Globul
Open wound of the lip,Clavulanate (Augmentin)
Subacute thyroiditis,Thyroxine (Synthroid)
Subacute thyroiditis,Propylthiouracil
Subacute thyroiditis,Pyridoxine
Subacute thyroiditis,Thyroid (Usp) (Armour Thyroid)
Subacute thyroiditis,Cabergoline
Subacute thyroiditis,Cromolyn (Viz-On)
Subacute thyroiditis,Dapsone
Subacute thyroiditis,Methyldopa
Subacute thyroiditis,Ursodiol (Urso)
Subacute thyroiditis,Terconazole Topical
Subacute thyroiditis,Atazanavir (Reyataz)
Subacute thyroiditis,Progesterone
Subacute thyroiditis,Multivitam
Oral mucosal lesion,Penicillin
Oral mucosal lesion,Nystatin Topical Product
Oral mucosal lesion,Benzocaine Topical
Oral mucosal lesion,Chlorhexidine Topical
Oral mucosal lesion,Terbinafine Topical
Oral mucosal lesion,Sucralfate (Carafate)
Oral mucosal lesion,Enoxacin (Penetrex)
Oral mucosal lesion,Insulin Lispro-Insulin Lispro Protamine
Oral mucosal lesion,Factor Ix
Oral mucosal lesion,Ferric Subsulfate Topical
Oral mucosal lesion,Tolmetin
Oral mucosal lesion,6-Aminocaproic Acid (Amicar)
Oral mucosal lesion,Antihemophilic Factor (Obsolete)
Open wound due to trauma,Tetanus Toxoid Vaccine (Adacel)
Open wound due to trauma,Bacitracin (Septa)
Open wound due to trauma,Rabies Vaccine (Obsolete)
Open wound due to trauma,Diphtheria Toxoid Vaccine (Prohibit)
Open wound due to trauma,Benzoin Topical
Open wound due to trauma,Rabies Immune Globul
Open wound due to trauma,Papain-Urea Topical
Open wound due to trauma,Benzocaine-Cetylpyridinium Topical
Open wound due to trauma,Guanethidine
Open wound due to trauma,Goldenseal Preparation
Open wound due to trauma,Pentobarbital
Intracerebral hemorrhage,Labetalol
Intracerebral hemorrhage,Midazolam (Versed)
Intracerebral hemorrhage,Phenytoin (Dilantin)
Intracerebral hemorrhage,Nicardipine
Intracerebral hemorrhage,Levetiracetam (Keppra)
Intracerebral hemorrhage,Mannitol
Intracerebral hemorrhage,Hydralazine
Intracerebral hemorrhage,Baclofen
Intracerebral hemorrhage,Dexamethasone
Intracerebral hemorrhage,Fosphenytoin
Intracerebral hemorrhage,Naloxone (Suboxone)
Intracerebral hemorrhage,Dantrolene
Alzheimer disease,Donepezil (Aricept)
Alzheimer disease,Memantine (Namenda)
Alzheimer disease,Rivastigmine (Exelon)
Alzheimer disease,Galantamine
Alzheimer disease,Dapiprazole Ophthalmic
Alzheimer disease,Alendronate-Cholecalciferol
Alzheimer disease,Bromocriptine
Alzheimer disease,Fluvastatin (Lescol)
Alzheimer disease,Citric Acid
Alzheimer disease,Astemizole
Alzheimer disease,Hypromellose (Genteal)
Vaginismus,Estradiol
Vaginismus,Estroge
Vaginismus,Progesterone
Vaginismus,Ortho Cyclen
Vaginismus,Pindolol
Vaginismus,Tolnaftate Topical
Vaginismus,Neostigmine
Vaginismus,Teriparatide (Forteo)
Vaginismus,Desflurane
Vaginismus,Pentosan Polysulphate Sodium (Elmiron)
Systemic lupus erythematosis (SLE),Prednisone
Systemic lupus erythematosis (SLE),Hydroxychloroquine (Plaquenil)
Systemic lupus erythematosis (SLE),Mycophenolate Mofetil (Cellcept)
Systemic lupus erythematosis (SLE),Methotrexate
Systemic lupus erythematosis (SLE),Azathioprine
Systemic lupus erythematosis (SLE),Tacrolimus (Prograf)
Systemic lupus erythematosis (SLE),Dapsone
Systemic lupus erythematosis (SLE),Cyclophosphamide
Systemic lupus erythematosis (SLE),Mycophenolic Acid (Myfortic)
Systemic lupus erythematosis (SLE),Sevelamer (Renvela)
Systemic lupus erythematosis (SLE),Etanercept (Enbrel)
Systemic lupus erythematosis (SLE),Doxepin
Systemic lupus erythematosis (SLE),Bosentan (Tracleer)
Premature ovarian failure,Human Chorionic Gonadotropin (Hcg)
Premature ovarian failure,Clomiphene (Clomid)
Premature ovarian failure,Medroxyprogesterone
Premature ovarian failure,Estradiol
Premature ovarian failure,Estroge
Premature ovarian failure,Progesterone
Premature ovarian failure,Leuprolide (Lupron)
Premature ovarian failure,Menotropins (Hmg)
Premature ovarian failure,Letrozole (Femara)
Premature ovarian failure,Danazol
Premature ovarian failure,Minoxidil Topical
Thoracic outlet syndrome,Gabapentin
Thoracic outlet syndrome,Pregabalin (Lyrica)
Thoracic outlet syndrome,Glatiramer (Copaxone)
Thoracic outlet syndrome,Codeine
Thoracic outlet syndrome,Letrozole (Femara)
Thoracic outlet syndrome,Pyridoxine
Thoracic outlet syndrome,Leuprolide (Lupron)
Thoracic outlet syndrome,Metaxalone (Skelaxin)
Thoracic outlet syndrome,Terazosin
Ganglion cyst,Piroxicam
Ganglion cyst,Goldenseal Preparation
Ganglion cyst,Aluminum Sulfate Topical
Ganglion cyst,Penbutolol (Levatol)
Ganglion cyst,Thrombin Topical
Ganglion cyst,Ethyl Chloride Topical
Ganglion cyst,Ceftizoxime
Ganglion cyst,Trolamine Salicylate Topical
Ganglion cyst,Lysine
Ganglion cyst,Fenofibric Acid (Trilipix)
Ganglion cyst,Hydrocortisone-Pramoxine Topical
Ganglion cyst,Lutein
Dislocation of the knee,Triamcinolone Topical Product
Dislocation of the knee,Triamterene
Dislocation of the knee,Glucosamine
Dislocation of the knee,Bupivacaine
Dislocation of the knee,Mecamylamine
Dislocation of the knee,Grepafloxacin (Raxar)
Dislocation of the knee,Malathion Topical
Dislocation of the knee,Gemtuzumab (Mylotarg)
Dislocation of the knee,Gadoteridol (Prohance)
Dislocation of the knee,Devil'S Claw Preparation
Crohn disease,Mesalamine (Asacol)
Crohn disease,Infliximab (Remicade)
Crohn disease,Azathioprine
Crohn disease,Metronidazole
Crohn disease,Vitamin B 12
Crohn disease,Sulfasalazine
Crohn disease,Mercaptopurine
Crohn disease,Loperamide (Imodium)
Crohn disease,Budesonide
Crohn disease,Dicyclomine
Crohn disease,Adalimumab (Humira)
Crohn disease,Methotrexate
Postoperative infection,Vancomycin
Postoperative infection,Zosyn
Postoperative infection,Iodine Topical
Postoperative infection,Daptomycin
Postoperative infection,Mafenide Topical
Postoperative infection,Sodium Hypochlorite Topical
Postoperative infection,Rifampin
Postoperative infection,Cellulose
Postoperative infection,Cefadroxil
Postoperative infection,Treprostinil (Remodulin)
Postoperative infection,Gentamicin Topical
Postoperative infection,Hyaluronidase
Postoperative infection,Pyrimethamine
Folate deficiency,Vitamin B 12
Folate deficiency,Folic Acid
Folate deficiency,Pioglitazone (Actos)
Folate deficiency,Darbepoetin Alfa (Aranesp)
Folate deficiency,Nebivolol (Bystolic)
Folate deficiency,Epoetin Alfa (Procrit)
Folate deficiency,Fosinopril
Folate deficiency,Doxazosin
Folate deficiency,Opium
Folate deficiency,Butalbital (G-1)
Folate deficiency,Clomipramine
Folate deficiency,Ceftazidime
Fluid overload,Furosemide
Fluid overload,Clonidine
Fluid overload,Sodium Bicarbonate
Fluid overload,Heparin
Fluid overload,Sodium Polystyrene Sulfonate (Kayexalate)
Fluid overload,Tacrolimus (Prograf)
Fluid overload,Vancomycin
Fluid overload,Minoxidil (Rogaine)
Fluid overload,Torsemide
Fluid overload,Epoetin Alfa (Procrit)
Fluid overload,Mycophenolate Mofetil (Cellcept)
Fluid overload,Chlorothiazide
Atrial flutter,Warfarin
Atrial flutter,Furosemide
Atrial flutter,Diltiazem
Atrial flutter,Digoxin
Atrial flutter,Carvedilol
Atrial flutter,Amiodarone
Atrial flutter,Sotalol
Atrial flutter,Spironolactone
Atrial flutter,Enoxaparin (Lovenox)
Atrial flutter,Flecainide
Atrial flutter,Propafenone
Atrial flutter,Adenosine
Atrial flutter,Colchicine
Skin disorder,Clobetasol Topical
Skin disorder,Tretinoin Topical
Skin disorder,Fluocinonide Topical
Skin disorder,Silver Nitrate Topical Each
Skin disorder,Fluorouracil
Skin disorder,Imiquimod Topical
Skin disorder,Fluorouracil Topical
Skin disorder,Benzoyl Peroxide-Erythromycin Topical
Skin disorder,Benzoyl Peroxide-Clindamycin Topical
Skin disorder,Lactic Acid Topical
Skin disorder,Hydroquinone Topical
Skin disorder,Azelaic Acid Topical
Floaters,Tropicamide Ophthalmic
Floaters,Phenylephrine (Duramax)
Floaters,Benoxinate-Fluorescein Ophthalmic
Floaters,Ocular Lubricant
Floaters,Loteprednol Ophthalmic
Floaters,Fluorescein Ophthalmic
Floaters,Cyclosporine Ophthalmic
Floaters,Timolol
Floaters,Teriparatide (Forteo)
Floaters,Colestipol
Floaters,Methyl Salicylate-Menthol Topical
Floaters,Azelastine Ophthalmic
Tooth disorder,Penicillin
Tooth disorder,Clindamycin
Tooth disorder,Benzocaine Topical
Tooth disorder,Clove
Tooth disorder,Menthol-Phenol Topical
Tooth disorder,Glubionate Calcium
Tooth disorder,Cephalothin
Tooth disorder,Pimozide (Orap)
Heart attack,Aspirin
Heart attack,Nitroglycerin
Heart attack,Metoprolol
Heart attack,Clopidogrel (Plavix)
Heart attack,Heparin
Heart attack,Enoxaparin (Lovenox)
Heart attack,Isosorbide
Heart attack,Oxygen
Heart attack,Eptifibatide (Integrilin)
Heart attack,Amiodarone
Heart attack,Dopamine
Heart attack,Tenecteplase
Heart attack,Bisoprolol (Emcor)
Open wound of the abdomen,Cefazolin
Open wound of the abdomen,Silver Sulfadiazine Topical
Open wound of the abdomen,Tetracycline
Open wound of the abdomen,Bimatoprost Ophthalmic
Open wound of the abdomen,Daptomycin
Open wound of the abdomen,Papain-Urea Topical
Open wound of the abdomen,Sodium Hypochlorite Topical
Open wound of the abdomen,Iodine Topical
Open wound of the abdomen,Fludrocortisone
Open wound of the abdomen,Oxaliplatin
Open wound of the abdomen,Insulin Isophane (Humulin N)
Fracture of the leg,Darifenacin (Enablex)
Fracture of the leg,Guanfacine (Intuniv)
Fracture of the leg,Vitamin K 1 (Mephyton)
Fracture of the leg,Dalteparin (Fragmin)
Fracture of the leg,Lvp Solution
Fracture of the leg,Disopyramide
Fracture of the leg,Plasma Protein Fraction (Plasmanate)
Fracture of the leg,Lactobacillus Acidophilus And Bulgaricus
Fracture of the leg,Levobunolol Ophthalmic
Fracture of the leg,Dronedarone (Multaq)
Fracture of the leg,Fondaparinux (Arixtra)
Oral thrush (yeast infection),Nystatin Topical Product
Oral thrush (yeast infection),Fluconazole (Diflucan)
Oral thrush (yeast infection),Clotrimazole Topical
Oral thrush (yeast infection),Rotavirus Vaccines (Rotavirus Vaccine)
Oral thrush (yeast infection),Gentian Violet Topical
Oral thrush (yeast infection),Clotrimazole
Oral thrush (yeast infection),Simethicone (Degas)
Oral thrush (yeast infection),Amphotericin B
Oral thrush (yeast infection),Lopinavir
Oral thrush (yeast infection),Dapsone
Oral thrush (yeast infection),Glycerin (Fleet)
Oral thrush (yeast infection),Glycerin Topical
Oral thrush (yeast infection),Nystatin
Pityriasis rosea,Diphenhydramine (Benadryl)
Pityriasis rosea,Hydroxyzine
Pityriasis rosea,Hydrocortisone Topical
Pityriasis rosea,Triamcinolone
Pityriasis rosea,Fluocinonide Topical
Pityriasis rosea,Tacrolimus Topical Product
Pityriasis rosea,Cortisone
Pityriasis rosea,Fluticasone Topical Product
Pityriasis rosea,Acitretin (Soriatane)
Pityriasis rosea,Lactic Acid Topical
Pityriasis rosea,Desonide Topical
Pityriasis rosea,Betamethasone-Clotrimazole Topical
Pityriasis rosea,Clobetasol Topical
Allergy to animals,Cetirizine (Zyrtec)
Allergy to animals,Fluticasone Topical Product
Allergy to animals,Gentamicins (Gentamicin)
Allergy to animals,Minocycline
Allergy to animals,Nicotine
Allergy to animals,Olopatadine Ophthalmic
Allergy to animals,Acyclovir
Allergy to animals,Epinephrine
Allergy to animals,Triamcinolone
Allergy to animals,Hydrocortisone Topical
Allergy to animals,Guaifenesin (Mucinex)
Allergy to animals,Mometasone Nasal Product
Orthostatic hypotension,Midodrine
Orthostatic hypotension,Fludrocortisone
Orthostatic hypotension,Nortriptyline
Orthostatic hypotension,Flecainide
Orthostatic hypotension,Nadolol
Orthostatic hypotension,Diatrizoate
Orthostatic hypotension,Memantine (Namenda)
Orthostatic hypotension,Dofetilide (Tikosyn)
Orthostatic hypotension,Glycerin (Fleet)
Orthostatic hypotension,Repaglinide (Prandin)
Obstructive sleep apnea (OSA),Zaleplon (Sonata)
Obstructive sleep apnea (OSA),Ropinirole
Obstructive sleep apnea (OSA),Oxymetazoline Nasal
Obstructive sleep apnea (OSA),Pramipexole (Mirapex)
Obstructive sleep apnea (OSA),Armodafinil (Nuvigil)
Obstructive sleep apnea (OSA),Ciclesonide (Omnaris)
Obstructive sleep apnea (OSA),Dihydroergotamine
Obstructive sleep apnea (OSA),Valdecoxib (Bextra)
Obstructive sleep apnea (OSA),Drospirenone-Estradiol
Obstructive sleep apnea (OSA),Cascara Sagrada
Obstructive sleep apnea (OSA),Dipivefrin Ophthalmic
Hypokalemia,Potassium Chloride
Hypokalemia,Sodium Polystyrene Sulfonate (Kayexalate)
Hypokalemia,Magnesium Sulfate
Hypokalemia,Adenosine
Hypokalemia,Dolasetron (Anzemet)
Hypokalemia,Reteplase
Hypokalemia,Potassium Phosphate-Sodium Phosphate (Neutra-Phos)
Hypokalemia,Posaconazole
Hypokalemia,Magnesium Salicylate (Magan)
Hypokalemia,Diphenoxylate (Lomotil)
Hypokalemia,Papaverine
Psoriasis,Clobetasol Topical
Psoriasis,Calcipotriene Topical
Psoriasis,Methotrexate
Psoriasis,Triamcinolone
Psoriasis,Betamethasone Topical Product
Psoriasis,Betamethasone-Calcipotriene Topical
Psoriasis,Etanercept (Enbrel)
Psoriasis,Fluocinonide Topical
Psoriasis,Triamcinolone Topical Product
Psoriasis,Tacrolimus Topical Product
Psoriasis,Salicylic Acid Topical
Psoriasis,Ketoconazole
Psoriasis,Acitretin (Soriatane)
Dislocation of the shoulder,Fentanyl
Dislocation of the shoulder,Midazolam (Versed)
Dislocation of the shoulder,Propofol
Dislocation of the shoulder,Tromethamine
Dislocation of the shoulder,Methohexital (Brevital)
Dislocation of the shoulder,Etomidate
Dislocation of the shoulder,Flumazenil
Dislocation of the shoulder,Oxaprozin
Dislocation of the shoulder,Bisoprolol (Emcor)
Intussusception,Meperidine (Demerol)
Intussusception,Pentobarbital
Intussusception,Trimethobenzamide (Tigan)
Intussusception,Prednisolone
Intussusception,Clindamycin
Intussusception,Metronidazole
Intussusception,Pantoprazole
Intussusception,Mecamylamine
Intussusception,Grepafloxacin (Raxar)
Intussusception,Malathion Topical
Intussusception,Gemtuzumab (Mylotarg)
Intussusception,Gadoteridol (Prohance)
Cervicitis,Azithromycin
Cervicitis,Ceftriaxone
Cervicitis,Metronidazole
Cervicitis,Doxycycline
Cervicitis,Fluconazole (Diflucan)
Cervicitis,Cefixime (Suprax)
Cervicitis,Cefpodoxime
Cervicitis,Cefmetazole
Cervicitis,Diflunisal
Cervicitis,Clindamycin Topical Product
Cervicitis,Cefotaxime
Cervicitis,Terbutaline
Abscess of the pharynx,Dexamethasone Topical Product
Abscess of the pharynx,Clindamycin
Abscess of the pharynx,Azelastine Nasal
Abscess of the pharynx,Triamcinolone Nasal Product
Abscess of the pharynx,Cloxacillin
Abscess of the pharynx,Cefotaxime
Abscess of the pharynx,Cefixime (Suprax)
Abscess of the pharynx,Phenol Topical
Abscess of the pharynx,Leflunomide (Arava)
Primary thrombocythemia,Hydroxyurea
Primary thrombocythemia,Anagrelide
Primary thrombocythemia,Triamterene
Primary thrombocythemia,Ferric Oxi
Primary thrombocythemia,Epoetin Alfa (Procrit)
Primary thrombocythemia,Testosterone
Primary thrombocythemia,Ropinirole
Primary thrombocythemia,Glimepiride
Primary thrombocythemia,6-Aminocaproic Acid (Amicar)
Primary thrombocythemia,Acebutolol
Primary thrombocythemia,Cefprozil
Primary thrombocythemia,Megestrol (Megace)
Arthritis of the hip,Cortisone
Arthritis of the hip,Dorzolamide Ophthalmic
Arthritis of the hip,Sulindac
Arthritis of the hip,Gadodiamide (Omniscan)
Arthritis of the hip,Calcifediol
Arthritis of the hip,Cisatracurium (Nimbex)
Arthritis of the hip,Pepsin A
Arthritis of the hip,Tapentadol (Nucynta)
Arthritis of the hip,Diazoxide
Arthritis of the hip,Benzoin Topical
Arthritis of the hip,Flavoxate (Urispas)
Arthritis of the hip,Nitrofurazone Topical
Decubitus ulcer,Mupirocin Topical
Decubitus ulcer,Collagenase Topical
Decubitus ulcer,Silver Nitrate Topical Each
Decubitus ulcer,Silver Sulfadiazine Topical
Decubitus ulcer,Baclofen
Decubitus ulcer,Oxybutynin
Decubitus ulcer,Cellulose
Decubitus ulcer,Sodium Hypochlorite Topical
Decubitus ulcer,Sennosid
Decubitus ulcer,Petrolatum Topical
Decubitus ulcer,Silver Topical
Decubitus ulcer,Zinc Sulfate
Hypernatremia,Insulin
Hypernatremia,Sodium Bicarbonate
Hypernatremia,Enoxaparin (Lovenox)
Hypernatremia,Oxygen
Hypernatremia,Albumin Hum
Hypernatremia,Piperacillin (Zosyn)
Hypernatremia,Insulin Aspart-Insulin Aspart Protamine
Hypernatremia,Dopamine
Hypernatremia,Sodium Polystyrene Sulfonate (Kayexalate)
Hypernatremia,Zoledronic Acid (Reclast)
Hypernatremia,Phenobarbital
Hypernatremia,Telmisartan (Micardis)
Hypernatremia,Epoetin Alfa (Procrit)
Sensorineural hearing loss,Mometasone Nasal Product
Sensorineural hearing loss,Azelastine Nasal
Sensorineural hearing loss,Fluocinolone Otic
Sensorineural hearing loss,Chlorthalidone
Sensorineural hearing loss,Ubiquinone (Q10)
Sensorineural hearing loss,Factor Viii
Sensorineural hearing loss,Levocarnitine
Sensorineural hearing loss,Ethanol (On Guard)
Sensorineural hearing loss,Acetic Acid Topical
Sensorineural hearing loss,Tiagabine (Gabitril)
Sensorineural hearing loss,Ginkgo Biloba Extract (Ginkgo)
Chronic ulcer,Silver Sulfadiazine Topical
Chronic ulcer,Collagenase Topical
Chronic ulcer,Cellulose
Chronic ulcer,Mupirocin Topical
Chronic ulcer,Petrolatum Topical
Chronic ulcer,Silver Nitrate Topical Each
Chronic ulcer,Papain-Urea Topical
Chronic ulcer,Tetracaine (One Touch)
Chronic ulcer,Becaplermin Topical
Chronic ulcer,Pentoxifylline
Chronic ulcer,Calcium Acetate
Chronic ulcer,Sodium Hypochlorite Topical
Osteoporosis,Alendronate
Osteoporosis,Ergocalciferol
Osteoporosis,Risedronate (Actonel)
Osteoporosis,Ibandronate (Boniva)
Osteoporosis,Calcium Carbonate
Osteoporosis,Zoledronic Acid (Reclast)
Osteoporosis,Methotrexate
Osteoporosis,Raloxifene (Evista)
Osteoporosis,Calcitonin
Osteoporosis,Calcium Citrate
Osteoporosis,Calcium-Vitamin D
Osteoporosis,Teriparatide (Forteo)
Osteoporosis,Methimazole
Ileus,Ondansetron (Zofran)
Ileus,Hydromorphone (Dilaudid)
Ileus,Meperidine (Demerol)
Ileus,Metronidazole
Ileus,Iohexol (Omnipaque)
Ileus,Dicyclomine
Ileus,Simethicone (Degas)
Ileus,Hyoscyamine (A-Spas)
Ileus,Magaldrate
Ileus,Iopamidol (Isovue)
Ileus,Cefoxitin
Sickle cell crisis,Hydromorphone (Dilaudid)
Sickle cell crisis,Diphenhydramine (Benadryl)
Sickle cell crisis,Morphine (Rms)
Sickle cell crisis,Folic Acid
Sickle cell crisis,Meperidine (Demerol)
Sickle cell crisis,Hydroxyurea
Sickle cell crisis,Lvp Solution
Sickle cell crisis,Magaldrate
Sickle cell crisis,Potassium Bicarbonate
Sickle cell crisis,Scopolamine
Sickle cell crisis,Buprenorphine (Suboxone)
Sickle cell crisis,Cefotaxime
Urethritis,Ceftriaxone
Urethritis,Azithromycin
Urethritis,Doxycycline
Urethritis,Ciprofloxacin
Urethritis,Metronidazole
Urethritis,Phenazopyridine (Azo)
Urethritis,Hydrocortisone
Urethritis,Trimethoprim
Urethritis,Ofloxacin
Urethritis,Flutamide
Urethritis,Ceftizoxime
Urethritis,Cefpodoxime
Urethritis,Urea Topical
Prostatitis,Ciprofloxacin
Prostatitis,Levofloxacin (Levaquin)
Prostatitis,Tamsulosin (Flomax)
Prostatitis,Doxycycline
Prostatitis,Tadalafil (Cialis)
Prostatitis,Dutasteride (Avodart)
Prostatitis,Phenazopyridine (Azo)
Prostatitis,Finasteride (Propecia)
Prostatitis,Alfuzosin (Uroxatral)
Prostatitis,Vardenafil (Levitra)
Prostatitis,Testosterone
Prostatitis,Silodosin (Rapaflo)
Prostatitis,Chondroitin
Otitis externa (swimmer's ear),Ofloxacin
Otitis externa (swimmer's ear),Neomycin (Septa)
Otitis externa (swimmer's ear),Carbamide Peroxide Otic
Otitis externa (swimmer's ear),Acetic Acid Topical
Otitis externa (swimmer's ear),Fluocinolone Otic
Otitis externa (swimmer's ear),M-Cresyl Acetate Otic
Otitis externa (swimmer's ear),Dicloxacillin
Otitis externa (swimmer's ear),Ciprofloxacin-Hydrocortisone Otic
Otitis externa (swimmer's ear),Acetic Acid
Otitis externa (swimmer's ear),Antipyrine
Poisoning due to anticonvulsants,Charcoal
Poisoning due to anticonvulsants,Carbamazepine
Poisoning due to anticonvulsants,Phenytoin (Dilantin)
Poisoning due to anticonvulsants,Sorbitol
Poisoning due to anticonvulsants,Trimethobenzamide (Tigan)
Poisoning due to anticonvulsants,Midrin
Poisoning due to anticonvulsants,Benztropine
Poisoning due to anticonvulsants,Haloperidol
Poisoning due to anticonvulsants,Mecamylamine
Poisoning due to anticonvulsants,Grepafloxacin (Raxar)
Poisoning due to anticonvulsants,Malathion Topical
Poisoning due to anticonvulsants,Gemtuzumab (Mylotarg)
Testicular torsion,Morphine (Rms)
Testicular torsion,Tretinoin Topical
Testicular torsion,Sulfamethoxazole (Bactrim)
Testicular torsion,Codeine
Testicular torsion,Methadone
Testicular torsion,Cefazolin
Testicular torsion,Mecamylamine
Testicular torsion,Grepafloxacin (Raxar)
Testicular torsion,Malathion Topical
Testicular torsion,Gemtuzumab (Mylotarg)
Testicular torsion,Gadoteridol (Prohance)
Tricuspid valve disease,Clopidogrel (Plavix)
Tricuspid valve disease,Valsartan (Diovan)
Tricuspid valve disease,Methylprednisolone (Medrol)
Tricuspid valve disease,Warfarin
Tricuspid valve disease,Amantadine
Tricuspid valve disease,Sotalol
Tricuspid valve disease,Raloxifene (Evista)
Tricuspid valve disease,Sitagliptin (Januvia)
Tricuspid valve disease,Hyzaar
Tricuspid valve disease,Terazosin
Tricuspid valve disease,Doxazosin
Urethral stricture,Tamsulosin (Flomax)
Urethral stricture,Oxybutynin
Urethral stricture,Nitrofurantoin
Urethral stricture,Estradiol
Urethral stricture,Finasteride (Propecia)
Urethral stricture,Donepezil (Aricept)
Urethral stricture,Sevoflurane
Urethral stricture,Gentamicin Ophthalmic
Urethral stricture,Alfuzosin (Uroxatral)
Urethral stricture,Darifenacin (Enablex)
Urethral stricture,Cranberry Preparation (Azo-Cranberry)
Urethral stricture,Sterile Water
Vitamin D deficiency,Ergocalciferol
Vitamin D deficiency,Vitamin B 12
Vitamin D deficiency,Cholecalciferol
Vitamin D deficiency,Ibandronate (Boniva)
Vitamin D deficiency,Calcium Citrate
Vitamin D deficiency,Phentermine
Vitamin D deficiency,Zoster Vaccine Live
Vitamin D deficiency,Multivitamin With Minerals
Vitamin D deficiency,Calcium-Vitamin D
Vitamin D deficiency,Bifidobacterium Infantis (Align)
Vitamin D deficiency,Minoxidil (Rogaine)
Hydatidiform mole,Medroxyprogesterone
Hydatidiform mole,Methylergonovine (Methergine)
Hydatidiform mole,Rho(D) Immune Globulin (Rhogam)
Hydatidiform mole,Misoprostol
Hydatidiform mole,Nonoxynol 9 Topical
Hydatidiform mole,Multivitam
Hydatidiform mole,Methotrexate
Hydatidiform mole,Propofol
Hydatidiform mole,Mecamylamine
Hydatidiform mole,Grepafloxacin (Raxar)
Hydatidiform mole,Malathion Topical
Hydatidiform mole,Gemtuzumab (Mylotarg)
