Disease,CommonTestAndProcedure
Pneumothorax,Plain x-ray (X ray)
Pneumothorax,Hematologic tests (Blood test)
Pneumothorax,Complete blood count (Cbc)
Pneumothorax,Intravenous fluid replacement
Pneumothorax,Kidney function tests (Kidney function test)
Pneumothorax,X-ray computed tomography (Scan ct)
Pneumothorax,Electrocardiogram
De Quervain disease,Application of splint (Splinting)
De Quervain disease,Other therapeutic procedures
De Quervain disease,Physical therapy exercises (Exercises)
De Quervain disease,Occupational therapy assessment (Speech therapy)
De Quervain disease,Injections and aspirations of muscles; tendons; bursa; joints and soft tissue
De Quervain disease,Other non-OR therapeutic procedures on musculoskeletal system
De Quervain disease,Bone density scan
De Quervain disease,Culture wound
Fracture of the vertebra,Radiographic imaging procedure
Fracture of the vertebra,Plain x-ray (X ray)
Fracture of the vertebra,X-ray computed tomography (Scan ct)
Fracture of the vertebra,Complete blood count (Cbc)
Fracture of the vertebra,Intravenous fluid replacement
Fracture of the vertebra,Urinalysis
Fracture of the vertebra,Kidney function tests (Kidney function test)
Fracture of the vertebra,Electrolytes panel
Human immunodeficiency virus infection (HIV),Hematologic tests (Blood test)
Human immunodeficiency virus infection (HIV),Complete blood count (Cbc)
Human immunodeficiency virus infection (HIV),Glucose measurement (Glucose level)
Human immunodeficiency virus infection (HIV),Complete physical skin exam performed (ML)
Human immunodeficiency virus infection (HIV),Lipid panel
Human immunodeficiency virus infection (HIV),Electrolytes panel
Human immunodeficiency virus infection (HIV),Mental health counseling
Human immunodeficiency virus infection (HIV),Psychotherapy
Mumps,Hematologic tests (Blood test)
Mumps,Complete blood count (Cbc)
Mumps,Corneal transplant
Mumps,Transurethral resection of prostate (TURP) (Turp)
Mumps,Coronary thrombolysis
Mumps,Control of epistaxis
Mumps,CT scan abdomen (Ct of abdomen)
Mumps,Procedures on spleen (Spleen operation)
Subarachnoid hemorrhage,Radiographic imaging procedure
Subarachnoid hemorrhage,Hematologic tests (Blood test)
Subarachnoid hemorrhage,X-ray computed tomography (Scan ct)
Subarachnoid hemorrhage,Complete blood count (Cbc)
Subarachnoid hemorrhage,Intravenous fluid replacement
Subarachnoid hemorrhage,CAT scan of head (Head ct)
Subarachnoid hemorrhage,Kidney function tests (Kidney function test)
Subarachnoid hemorrhage,Glucose measurement (Glucose level)
Acute fatty liver of pregnancy (AFLP),Urinalysis
Acute fatty liver of pregnancy (AFLP),Pelvis exam
Acute fatty liver of pregnancy (AFLP),Ultrasonography (Ultrasound)
Acute fatty liver of pregnancy (AFLP),Chlamydia test
Acute fatty liver of pregnancy (AFLP),Examination of breast
Acute fatty liver of pregnancy (AFLP),Liver function tests (Liver test)
Acute fatty liver of pregnancy (AFLP),Corneal transplant
Acute fatty liver of pregnancy (AFLP),Procedures on spleen (Spleen operation)
Ectropion,Physical therapy exercises; manipulation; and other procedures
Ectropion,Other therapeutic procedures on eyelids; conjunctiva; cornea
Ectropion,Ophthalmic examination and evaluation (Eye exam)
Ectropion,Physical therapy exercises (Exercises)
Ectropion,Corneal transplant
Ectropion,Procedures on spleen (Spleen operation)
Ectropion,Removal of ectopic pregnancy
Ectropion,Tracheostomy; temporary and permanent
Scar,Complete physical skin exam performed (ML)
Scar,Wound care management
Scar,Excision (Removal)
Scar,Other therapeutic procedures
Scar,Examination of breast
Scar,Other diagnostic procedures (interview; evaluation; consultation)
Scar,Excision of skin lesion
Scar,Physical therapy exercises (Exercises)
Lactose intolerance,Hematologic tests (Blood test)
Lactose intolerance,Glucose measurement (Glucose level)
Lactose intolerance,Hemoglobin A1c measurement (Hemoglobin a1c test)
Lactose intolerance,Lipid panel
Lactose intolerance,Complete physical skin exam performed (ML)
Lactose intolerance,Other diagnostic procedures (interview; evaluation; consultation)
Lactose intolerance,Prostate specific antigen measurement (Prostate specific antigen test)
Lactose intolerance,Rectal examination
Eustachian tube dysfunction (ear disorder),Ophthalmologic and otologic diagnosis and treatment
Eustachian tube dysfunction (ear disorder),Other diagnostic procedures (interview; evaluation; consultation)
Eustachian tube dysfunction (ear disorder),Excision (Removal)
Eustachian tube dysfunction (ear disorder),Diagnostic procedures on ear
Eustachian tube dysfunction (ear disorder),Tonsillectomy and/or adenoidectomy
Eustachian tube dysfunction (ear disorder),Diagnostic procedures on nose; mouth and pharynx
Eustachian tube dysfunction (ear disorder),Other therapeutic procedures
Eustachian tube dysfunction (ear disorder),Occupational therapy assessment (Speech therapy)
Appendicitis,Hematologic tests (Blood test)
Appendicitis,Complete blood count (Cbc)
Appendicitis,Radiographic imaging procedure
Appendicitis,Intravenous fluid replacement
Appendicitis,X-ray computed tomography (Scan ct)
Appendicitis,Urinalysis
Appendicitis,Kidney function tests (Kidney function test)
Appendicitis,Glucose measurement (Glucose level)
Graves disease,Hematologic tests (Blood test)
Graves disease,Complete blood count (Cbc)
Graves disease,Glucose measurement (Glucose level)
Graves disease,Lipid panel
Graves disease,Electrocardiogram
Graves disease,Hemoglobin A1c measurement (Hemoglobin a1c test)
Graves disease,Ultrasonography (Ultrasound)
Graves disease,Other diagnostic procedures (interview; evaluation; consultation)
Dissociative disorder,Psychotherapy
Dissociative disorder,Mental health counseling
Dissociative disorder,Depression screen (Depression screening)
Dissociative disorder,Psychological and psychiatric evaluation and therapy
Dissociative disorder,Laparoscopy (GI only) (Laparoscopy)
Dissociative disorder,Orthopedic casting
Dissociative disorder,Colonoscopy and biopsy
Dissociative disorder,Sigmoidoscopy or colonoscopy
Open wound of the face,Suturing of wound
Open wound of the face,X-ray computed tomography (Scan ct)
Open wound of the face,Wound care management
Open wound of the face,CAT scan of head (Head ct)
Open wound of the face,Blood alcohol
Open wound of the face,Application of splint (Splinting)
Open wound of the face,Prothrombin time assay (Prothrombin time)
Open wound of the face,Toxicology screen
Dislocation of the vertebra,Radiographic imaging procedure
Dislocation of the vertebra,Plain x-ray (X ray)
Dislocation of the vertebra,Magnetic resonance imaging (Mri)
Dislocation of the vertebra,Physical therapy exercises (Exercises)
Dislocation of the vertebra,Other diagnostic procedures (interview; evaluation; consultation)
Dislocation of the vertebra,X-ray computed tomography (Scan ct)
Dislocation of the vertebra,Intubation
Dislocation of the vertebra,Insertion of catheter or spinal stimulator and injection into spinal canal
Phimosis,Excision (Removal)
Phimosis,Complete physical skin exam performed (ML)
Phimosis,Other diagnostic procedures (interview; evaluation; consultation)
Phimosis,Nonoperative urinary system measurements
Phimosis,Ophthalmologic and otologic diagnosis and treatment
Phimosis,Ureteral catheterization
Phimosis,Procedures on the urethra
Phimosis,Other non-OR therapeutic procedures; male genital
Hyperemesis gravidarum,Hematologic tests (Blood test)
Hyperemesis gravidarum,Urinalysis
Hyperemesis gravidarum,Complete blood count (Cbc)
Hyperemesis gravidarum,Intravenous fluid replacement
Hyperemesis gravidarum,Glucose measurement (Glucose level)
Hyperemesis gravidarum,Kidney function tests (Kidney function test)
Hyperemesis gravidarum,Electrolytes panel
Hyperemesis gravidarum,Standard pregnancy test
Pregnancy,Urinalysis
Pregnancy,Pelvis exam
Pregnancy,Ultrasonography (Ultrasound)
Pregnancy,Examination of breast
Pregnancy,Chlamydia test
Pregnancy,Other diagnostic procedures (interview; evaluation; consultation)
Pregnancy,Standard pregnancy test
Pregnancy,Fetal monitoring
Thalassemia,Hematologic tests (Blood test)
Thalassemia,Complete blood count (Cbc)
Thalassemia,Complete physical skin exam performed (ML)
Thalassemia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Thalassemia,Lipid panel
Thalassemia,Other diagnostic procedures (interview; evaluation; consultation)
Thalassemia,HIV screen (Hiv test)
Thalassemia,Other diagnostic procedures on skin and subcutaneous tissue
Placenta previa,Radiographic imaging procedure
Placenta previa,Ultrasonography (Ultrasound)
Placenta previa,Urinalysis
Placenta previa,Pelvis exam
Placenta previa,Echocardiography
Placenta previa,Examination of breast
Placenta previa,Fetal monitoring
Placenta previa,Blood alcohol
Epidural hemorrhage,Radiographic imaging procedure
Epidural hemorrhage,Intravenous fluid replacement
Epidural hemorrhage,X-ray computed tomography (Scan ct)
Epidural hemorrhage,Plain x-ray (X ray)
Epidural hemorrhage,CAT scan of head (Head ct)
Epidural hemorrhage,Complete blood count (Cbc)
Epidural hemorrhage,Cardiac monitoring (Cardiac monitor)
Epidural hemorrhage,Kidney function tests (Kidney function test)
Septic arthritis,Hematologic tests (Blood test)
Septic arthritis,Complete blood count (Cbc)
Septic arthritis,Radiographic imaging procedure
Septic arthritis,Plain x-ray (X ray)
Septic arthritis,Kidney function tests (Kidney function test)
Septic arthritis,Intravenous fluid replacement
Septic arthritis,Electrolytes panel
Septic arthritis,Glucose measurement (Glucose level)
Athlete's foot,Complete physical skin exam performed (ML)
Athlete's foot,Examination of foot
Athlete's foot,Lipid panel
Athlete's foot,Wound care management
Athlete's foot,Excision (Removal)
Athlete's foot,Hemoglobin A1c measurement (Hemoglobin a1c test)
Athlete's foot,Depression screen (Depression screening)
Athlete's foot,Prostate specific antigen measurement (Prostate specific antigen test)
Pleural effusion,Radiographic imaging procedure
Pleural effusion,Plain x-ray (X ray)
Pleural effusion,Hematologic tests (Blood test)
Pleural effusion,Complete blood count (Cbc)
Pleural effusion,Electrocardiogram
Pleural effusion,Kidney function tests (Kidney function test)
Pleural effusion,Glucose measurement (Glucose level)
Pleural effusion,Electrolytes panel
Aphakia,Other therapeutic procedures on eyelids; conjunctiva; cornea
Aphakia,Ophthalmic examination and evaluation (Eye exam)
Aphakia,Other extraocular muscle and orbit therapeutic procedures
Aphakia,Lens and cataract procedures
Aphakia,Ophthalmologic and otologic diagnosis and treatment
Vulvar disorder,Pelvis exam
Vulvar disorder,Urinalysis
Vulvar disorder,Biopsy
Vulvar disorder,Complete physical skin exam performed (ML)
Vulvar disorder,Excision (Removal)
Vulvar disorder,Examination of breast
Vulvar disorder,Rectal examination
Vulvar disorder,Other diagnostic procedures; female organs
Vitamin B deficiency,Hematologic tests (Blood test)
Vitamin B deficiency,Complete blood count (Cbc)
Vitamin B deficiency,Glucose measurement (Glucose level)
Vitamin B deficiency,Intravenous fluid replacement
Vitamin B deficiency,Electrolytes panel
Vitamin B deficiency,Hemoglobin A1c measurement (Hemoglobin a1c test)
Vitamin B deficiency,Other diagnostic procedures (interview; evaluation; consultation)
Vitamin B deficiency,Liver function tests (Liver test)
Sialoadenitis,X-ray computed tomography (Scan ct)
Sialoadenitis,Intravenous fluid replacement
Sialoadenitis,CAT scan of head (Head ct)
Sialoadenitis,Blood culture
Sialoadenitis,Ophthalmic examination and evaluation (Eye exam)
Sialoadenitis,Tracheoscopy and laryngoscopy with biopsy
Sialoadenitis,Other OR therapeutic procedures on nose; mouth and pharynx
Sialoadenitis,Psychological and psychiatric evaluation and therapy
Gynecomastia,Examination of breast
Gynecomastia,Complete physical skin exam performed (ML)
Gynecomastia,Mammography (Mammogram)
Gynecomastia,Other OR therapeutic procedures on skin and breast
Gynecomastia,Biopsy
Gynecomastia,Excision (Removal)
Gynecomastia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Gynecomastia,Ultrasonography (Ultrasound)
Urinary tract infection,Urinalysis
Urinary tract infection,Hematologic tests (Blood test)
Urinary tract infection,Complete blood count (Cbc)
Urinary tract infection,Intravenous fluid replacement
Urinary tract infection,Glucose measurement (Glucose level)
Urinary tract infection,Kidney function tests (Kidney function test)
Urinary tract infection,Electrolytes panel
Urinary tract infection,Standard pregnancy test
Histoplasmosis,Plain x-ray (X ray)
Histoplasmosis,Excision (Removal)
Histoplasmosis,Examination of breast
Histoplasmosis,Lipid panel
Histoplasmosis,X-ray computed tomography (Scan ct)
Histoplasmosis,Ophthalmologic and otologic diagnosis and treatment
Histoplasmosis,Ophthalmic examination and evaluation (Eye exam)
Histoplasmosis,Mental health counseling
Erythema multiforme,Complete physical skin exam performed (ML)
Erythema multiforme,Glucose measurement (Glucose level)
Erythema multiforme,Electrolytes panel
Erythema multiforme,Kidney function tests (Kidney function test)
Erythema multiforme,Intravenous fluid replacement
Erythema multiforme,Liver function tests (Liver test)
Erythema multiforme,Insertion of catheter into urinary bladder
Erythema multiforme,Blood culture
Scoliosis,Radiographic imaging procedure
Scoliosis,Plain x-ray (X ray)
Scoliosis,Physical therapy exercises (Exercises)
Scoliosis,Magnetic resonance imaging (Mri)
Scoliosis,Other diagnostic procedures (interview; evaluation; consultation)
Scoliosis,Other therapeutic procedures
Scoliosis,Other physical therapy and rehabilitation
Scoliosis,Echocardiography
Bunion,Plain x-ray (X ray)
Bunion,Examination of foot
Bunion,Excision (Removal)
Bunion,Complete physical skin exam performed (ML)
Bunion,Bunionectomy or repair of toe deformities
Bunion,Wound care management
Bunion,Traction; splints; and other wound care
Bunion,Other therapeutic procedures
Arrhythmia,Electrocardiogram
Arrhythmia,Hematologic tests (Blood test)
Arrhythmia,Complete blood count (Cbc)
Arrhythmia,Radiographic imaging procedure
Arrhythmia,Glucose measurement (Glucose level)
Arrhythmia,Plain x-ray (X ray)
Arrhythmia,Intravenous fluid replacement
Arrhythmia,Kidney function tests (Kidney function test)
Paget disease,Hematologic tests (Blood test)
Paget disease,Complete blood count (Cbc)
Paget disease,Bone density scan
Paget disease,Sigmoidoscopy or colonoscopy
Paget disease,Lipid panel
Paget disease,Pelvis exam
Paget disease,Microscopic examination (bacterial smear; culture; toxicology)
Paget disease,Depression screen (Depression screening)
Trigeminal neuralgia,Magnetic resonance imaging (Mri)
Trigeminal neuralgia,Other OR therapeutic nervous system procedures
Trigeminal neuralgia,Ophthalmologic and otologic diagnosis and treatment
Trigeminal neuralgia,Other non-OR or closed therapeutic nervous system procedures
Trigeminal neuralgia,Other diagnostic radiology and related techniques
Trigeminal neuralgia,Electroencephalogram (EEG) (Eeg)
Trigeminal neuralgia,Psychological and psychiatric evaluation and therapy
Ankylosing spondylitis,Physical therapy exercises (Exercises)
Ankylosing spondylitis,Magnetic resonance imaging (Mri)
Ankylosing spondylitis,Insertion of catheter or spinal stimulator and injection into spinal canal
Ankylosing spondylitis,Other non-OR therapeutic procedures on musculoskeletal system
Ankylosing spondylitis,Other therapeutic procedures
Ankylosing spondylitis,Bone density scan
Ankylosing spondylitis,Other non-OR or closed therapeutic nervous system procedures
Ankylosing spondylitis,Arthroplasty knee (Knee replacement)
Peripheral nerve disorder,Other diagnostic procedures (interview; evaluation; consultation)
Peripheral nerve disorder,Magnetic resonance imaging (Mri)
Peripheral nerve disorder,Hemoglobin A1c measurement (Hemoglobin a1c test)
Peripheral nerve disorder,Physical therapy exercises (Exercises)
Peripheral nerve disorder,Lipid panel
Peripheral nerve disorder,Examination of foot
Peripheral nerve disorder,Depression screen (Depression screening)
Peripheral nerve disorder,Debridement of wound; infection or burn
Sebaceous cyst,Complete physical skin exam performed (ML)
Sebaceous cyst,Excision (Removal)
Sebaceous cyst,Wound care management
Sebaceous cyst,Excision of skin lesion
Sebaceous cyst,Biopsy
Sebaceous cyst,Other diagnostic procedures on skin and subcutaneous tissue
Sebaceous cyst,Incision and drainage (I d)
Sebaceous cyst,Other therapeutic procedures
Poisoning due to antipsychotics,Hematologic tests (Blood test)
Poisoning due to antipsychotics,Complete blood count (Cbc)
Poisoning due to antipsychotics,Electrocardiogram
Poisoning due to antipsychotics,Urinalysis
Poisoning due to antipsychotics,Intravenous fluid replacement
Poisoning due to antipsychotics,Toxicology screen
Poisoning due to antipsychotics,Kidney function tests (Kidney function test)
Poisoning due to antipsychotics,Glucose measurement (Glucose level)
Behcet disease,Diagnostic procedures on nose; mouth and pharynx
Behcet disease,Other therapeutic procedures
Behcet disease,Biopsy
Behcet disease,Excision (Removal)
Behcet disease,Psychotherapy
Behcet disease,Corneal transplant
Behcet disease,Procedures on spleen (Spleen operation)
Behcet disease,Removal of ectopic pregnancy
Neurosis,Hematologic tests (Blood test)
Neurosis,Complete blood count (Cbc)
Neurosis,Urinalysis
Neurosis,Kidney function tests (Kidney function test)
Neurosis,Glucose measurement (Glucose level)
Neurosis,Electrolytes panel
Neurosis,Toxicology screen
Neurosis,Electrocardiogram
Prostate cancer,Hematologic tests (Blood test)
Prostate cancer,Prostate specific antigen measurement (Prostate specific antigen test)
Prostate cancer,Urinalysis
Prostate cancer,Rectal examination
Prostate cancer,Ultrasonography (Ultrasound)
Prostate cancer,Other diagnostic procedures (interview; evaluation; consultation)
Prostate cancer,Biopsy
Prostate cancer,Therapeutic radiology for cancer treatment (Irradiation)
Cerebral edema,Radiographic imaging procedure
Cerebral edema,Magnetic resonance imaging (Mri)
Cerebral edema,Kidney function tests (Kidney function test)
Cerebral edema,Intravenous fluid replacement
Cerebral edema,Glucose measurement (Glucose level)
Cerebral edema,CAT scan of head (Head ct)
Cerebral edema,X-ray computed tomography (Scan ct)
Cerebral edema,Electrolytes panel
Dislocation of the finger,Radiographic imaging procedure
Dislocation of the finger,Plain x-ray (X ray)
Dislocation of the finger,Application of splint (Splinting)
Dislocation of the finger,Suturing of wound
Dislocation of the finger,Occupational therapy assessment (Speech therapy)
Dislocation of the finger,Other non-OR therapeutic procedures on musculoskeletal system
Dislocation of the finger,Orthopedic casting
Dislocation of the finger,Culture wound
Birth trauma,Physical therapy exercises (Exercises)
Birth trauma,Other diagnostic procedures (interview; evaluation; consultation)
Birth trauma,Complete physical skin exam performed (ML)
Birth trauma,Other physical therapy and rehabilitation
Birth trauma,Referral to home health care service
Birth trauma,Occupational therapy assessment (Speech therapy)
Birth trauma,Ophthalmologic and otologic diagnosis and treatment
Birth trauma,Corneal transplant
Chronic pancreatitis,Hematologic tests (Blood test)
Chronic pancreatitis,Complete blood count (Cbc)
Chronic pancreatitis,Glucose measurement (Glucose level)
Chronic pancreatitis,Intravenous fluid replacement
Chronic pancreatitis,Electrolytes panel
Chronic pancreatitis,Kidney function tests (Kidney function test)
Chronic pancreatitis,Liver function tests (Liver test)
Chronic pancreatitis,Urinalysis
Hematoma,Wound care management
Hematoma,Complete physical skin exam performed (ML)
Hematoma,X-ray computed tomography (Scan ct)
Hematoma,Examination of breast
Hematoma,Ultrasonography (Ultrasound)
Hematoma,Blood culture
Hematoma,Prothrombin time assay (Prothrombin time)
Hematoma,Other non-OR therapeutic procedures on skin and breast
Carcinoid syndrome,Radiographic imaging procedure
Carcinoid syndrome,X-ray computed tomography (Scan ct)
Carcinoid syndrome,Electrolytes panel
Carcinoid syndrome,Glucose measurement (Glucose level)
Carcinoid syndrome,Complete blood count (Cbc)
Carcinoid syndrome,Hematologic tests (Blood test)
Carcinoid syndrome,Echocardiography
Carcinoid syndrome,Blood culture
Open wound of the head,Suturing of wound
Open wound of the head,Radiographic imaging procedure
Open wound of the head,X-ray computed tomography (Scan ct)
Open wound of the head,Wound care management
Open wound of the head,CAT scan of head (Head ct)
Open wound of the head,Blood alcohol
Open wound of the head,Prothrombin time assay (Prothrombin time)
Open wound of the head,Application of splint (Splinting)
Seborrheic keratosis,Complete physical skin exam performed (ML)
Seborrheic keratosis,Excision (Removal)
Seborrheic keratosis,Excision of skin lesion
Seborrheic keratosis,Biopsy
Seborrheic keratosis,Wound care management
Seborrheic keratosis,Other diagnostic procedures on skin and subcutaneous tissue
Seborrheic keratosis,Other therapeutic procedures
Seborrheic keratosis,Other non-OR therapeutic procedures on skin and breast
Burn,Plain x-ray (X ray)
Burn,Wound care management
Burn,X-ray computed tomography (Scan ct)
Burn,Application of splint (Splinting)
Burn,CAT scan of head (Head ct)
Burn,Suturing of wound
Burn,Blood alcohol
Burn,Toxicology screen
Spontaneous abortion,Hematologic tests (Blood test)
Spontaneous abortion,Complete blood count (Cbc)
Spontaneous abortion,Radiographic imaging procedure
Spontaneous abortion,Urinalysis
Spontaneous abortion,Standard pregnancy test
Spontaneous abortion,Intravenous fluid replacement
Spontaneous abortion,Pelvis exam
Spontaneous abortion,Kidney function tests (Kidney function test)
Genital herpes,Urinalysis
Genital herpes,Pelvis exam
Genital herpes,Complete physical skin exam performed (ML)
Genital herpes,Standard pregnancy test
Genital herpes,Chlamydia test
Genital herpes,Lipid panel
Genital herpes,Examination of breast
Genital herpes,HIV screen (Hiv test)
Adjustment reaction,Psychotherapy
Adjustment reaction,Mental health counseling
Adjustment reaction,Depression screen (Depression screening)
Adjustment reaction,Toxicology screen
Adjustment reaction,Blood alcohol
Adjustment reaction,Psychological and psychiatric evaluation and therapy
Adjustment reaction,Other physical therapy and rehabilitation
Adjustment reaction,Other OR upper GI therapeutic procedures
Gallstone,Hematologic tests (Blood test)
Gallstone,Complete blood count (Cbc)
Gallstone,Radiographic imaging procedure
Gallstone,Urinalysis
Gallstone,Kidney function tests (Kidney function test)
Gallstone,Intravenous fluid replacement
Gallstone,Glucose measurement (Glucose level)
Gallstone,Electrolytes panel
Multiple sclerosis,Magnetic resonance imaging (Mri)
Multiple sclerosis,Physical therapy exercises (Exercises)
Multiple sclerosis,Other diagnostic procedures (interview; evaluation; consultation)
Multiple sclerosis,Referral to home health care service
Multiple sclerosis,Other therapeutic procedures
Multiple sclerosis,Occupational therapy assessment (Speech therapy)
Multiple sclerosis,Debridement of wound; infection or burn
Multiple sclerosis,Diagnostic spinal tap (Spinal tap)
Zenker diverticulum,Radiographic imaging procedure
Zenker diverticulum,Plain x-ray (X ray)
Zenker diverticulum,Glucose measurement (Glucose level)
Zenker diverticulum,Upper gastrointestinal endoscopy; biopsy
Zenker diverticulum,Liver function tests (Liver test)
Zenker diverticulum,Electrocardiogram
Zenker diverticulum,Esophageal dilatation (Esophageal dilation)
Zenker diverticulum,Other diagnostic radiology and related techniques
Fracture of the pelvis,Radiographic imaging procedure
Fracture of the pelvis,Plain x-ray (X ray)
Fracture of the pelvis,Hematologic tests (Blood test)
Fracture of the pelvis,Complete blood count (Cbc)
Fracture of the pelvis,Kidney function tests (Kidney function test)
Fracture of the pelvis,Intravenous fluid replacement
Fracture of the pelvis,X-ray computed tomography (Scan ct)
Fracture of the pelvis,Electrocardiogram
Pneumoconiosis,Radiographic imaging procedure
Pneumoconiosis,Plain x-ray (X ray)
Pneumoconiosis,Nebulizer therapy
Pneumoconiosis,Influenzavirus antibody assay
Pneumoconiosis,Depression screen (Depression screening)
Pneumoconiosis,Biopsy
Pneumoconiosis,Blood alcohol
Pneumoconiosis,Toxicology screen
Hyperlipidemia,Hematologic tests (Blood test)
Hyperlipidemia,Lipid panel
Hyperlipidemia,Glucose measurement (Glucose level)
Hyperlipidemia,Hemoglobin A1c measurement (Hemoglobin a1c test)
Hyperlipidemia,Complete physical skin exam performed (ML)
Hyperlipidemia,Ultrasonography (Ultrasound)
Hyperlipidemia,Prostate specific antigen measurement (Prostate specific antigen test)
Hyperlipidemia,Examination of foot
Ulcerative colitis,Hematologic tests (Blood test)
Ulcerative colitis,Complete blood count (Cbc)
Ulcerative colitis,Sigmoidoscopy or colonoscopy
Ulcerative colitis,Glucose measurement (Glucose level)
Ulcerative colitis,Intravenous fluid replacement
Ulcerative colitis,Electrolytes panel
Ulcerative colitis,X-ray computed tomography (Scan ct)
Ulcerative colitis,Liver function tests (Liver test)
Male genitalia infection,Urinalysis
Male genitalia infection,Kidney function tests (Kidney function test)
Male genitalia infection,Incision and drainage (I d)
Male genitalia infection,Blood culture
Male genitalia infection,X-ray computed tomography (Scan ct)
Male genitalia infection,Wound care management
Male genitalia infection,Other diagnostic procedures (interview; evaluation; consultation)
Male genitalia infection,Liver function tests (Liver test)
HPV,Pelvis exam
HPV,Biopsy
HPV,Examination of breast
HPV,Human papillomavirus DNA detection
HPV,Other diagnostic procedures; female organs
HPV,Standard pregnancy test
HPV,Pap smear
HPV,Rectal examination
Angina,Electrocardiogram
Angina,Hematologic tests (Blood test)
Angina,Radiographic imaging procedure
Angina,Complete blood count (Cbc)
Angina,Plain x-ray (X ray)
Angina,Cardiac enzymes measurement (Cardiac enzymes test)
Angina,Kidney function tests (Kidney function test)
Angina,Intravenous fluid replacement
Injury to the spinal cord,Radiographic imaging procedure
Injury to the spinal cord,Plain x-ray (X ray)
Injury to the spinal cord,Physical therapy exercises (Exercises)
Injury to the spinal cord,X-ray computed tomography (Scan ct)
Injury to the spinal cord,Intravenous fluid replacement
Injury to the spinal cord,Occupational therapy assessment (Speech therapy)
Injury to the spinal cord,CAT scan of head (Head ct)
Injury to the spinal cord,Cardiac monitoring (Cardiac monitor)
Nasal polyp,X-ray computed tomography (Scan ct)
Nasal polyp,Excision (Removal)
Nasal polyp,Diagnostic procedures on nose; mouth and pharynx
Nasal polyp,Other diagnostic procedures (interview; evaluation; consultation)
Nasal polyp,Magnetic resonance imaging (Mri)
Nasal polyp,Other non-OR therapeutic procedures on nose; mouth and pharynx
Nasal polyp,Other OR therapeutic procedures on nose; mouth and pharynx
Nasal polyp,Other diagnostic procedures on skin and subcutaneous tissue
Lichen simplex,Complete physical skin exam performed (ML)
Lichen simplex,Pelvis exam
Lichen simplex,Wound care management
Lichen simplex,Biopsy
Lichen simplex,Excision (Removal)
Lichen simplex,Other diagnostic procedures on skin and subcutaneous tissue
Lichen simplex,Excision of skin lesion
Lichen simplex,Pap smear
Trichiasis,Other therapeutic procedures on eyelids; conjunctiva; cornea
Trichiasis,Nonoperative removal of foreign body
Trichiasis,Ophthalmic examination and evaluation (Eye exam)
Trichiasis,Corneal transplant
Trichiasis,Procedures on spleen (Spleen operation)
Trichiasis,Removal of ectopic pregnancy
Trichiasis,Tracheostomy; temporary and permanent
Trichiasis,Diagnostic endocrine procedures
Acariasis,Complete physical skin exam performed (ML)
Acariasis,Liver function tests (Liver test)
Acariasis,Corneal transplant
Acariasis,Procedures on spleen (Spleen operation)
Acariasis,Removal of ectopic pregnancy
Acariasis,Tracheostomy; temporary and permanent
Acariasis,Diagnostic endocrine procedures
Acariasis,CT scan chest (Ct chest)
Colorectal cancer,Hematologic tests (Blood test)
Colorectal cancer,Complete blood count (Cbc)
Colorectal cancer,Glucose measurement (Glucose level)
Colorectal cancer,Electrolytes panel
Colorectal cancer,Complete physical skin exam performed (ML)
Colorectal cancer,X-ray computed tomography (Scan ct)
Colorectal cancer,Rectal examination
Colorectal cancer,Hemoglobin A1c measurement (Hemoglobin a1c test)
Skin pigmentation disorder,Complete physical skin exam performed (ML)
Skin pigmentation disorder,Excision (Removal)
Skin pigmentation disorder,Biopsy
Skin pigmentation disorder,Excision of skin lesion
Skin pigmentation disorder,Wound care management
Skin pigmentation disorder,Other diagnostic procedures on skin and subcutaneous tissue
Skin pigmentation disorder,Other therapeutic procedures
Skin pigmentation disorder,Other non-OR therapeutic procedures on skin and breast
Factitious disorder,Mental health counseling
Factitious disorder,Psychotherapy
Factitious disorder,Psychological and psychiatric evaluation and therapy
Factitious disorder,Echocardiography
Factitious disorder,Blood alcohol
Factitious disorder,Toxicology screen
Factitious disorder,Hemoglobin A1c measurement (Hemoglobin a1c test)
Factitious disorder,Ultrasonography (Ultrasound)
Lymphogranuloma venereum,Arterial blood gases (ABGs)
Lymphogranuloma venereum,Blood culture
Lymphogranuloma venereum,Liver function tests (Liver test)
Lymphogranuloma venereum,Cardiac enzymes measurement (Cardiac enzymes test)
Lymphogranuloma venereum,X-ray computed tomography (Scan ct)
Lymphogranuloma venereum,Kidney function tests (Kidney function test)
Lymphogranuloma venereum,Intravenous fluid replacement
Lymphogranuloma venereum,Electrolytes panel
Galactorrhea of unknown cause,Hematologic tests (Blood test)
Galactorrhea of unknown cause,Examination of breast
Galactorrhea of unknown cause,Pelvis exam
Galactorrhea of unknown cause,Complete physical skin exam performed (ML)
Galactorrhea of unknown cause,Standard pregnancy test
Galactorrhea of unknown cause,Mammography (Mammogram)
Galactorrhea of unknown cause,Lipid panel
Galactorrhea of unknown cause,Depression screen (Depression screening)
G6PD enzyme deficiency,Hematologic tests (Blood test)
G6PD enzyme deficiency,Complete blood count (Cbc)
G6PD enzyme deficiency,Other diagnostic procedures (interview; evaluation; consultation)
G6PD enzyme deficiency,Ultrasonography (Ultrasound)
